data,pais,variavel,valor,atualizacao
1980-01-01,Cameroon,"Inflação (Anual, %)",9.55175427642872,2023-12-24T13:31:52Z
1981-01-01,Cameroon,"Inflação (Anual, %)",10.7275000000004,2023-12-24T13:31:52Z
1982-01-01,Cameroon,"Inflação (Anual, %)",13.2570198610704,2023-12-24T13:31:52Z
1983-01-01,Cameroon,"Inflação (Anual, %)",16.6312264100787,2023-12-24T13:31:52Z
1984-01-01,Cameroon,"Inflação (Anual, %)",11.3733220902937,2023-12-24T13:31:52Z
1985-01-01,Cameroon,"Inflação (Anual, %)",8.50837434391595,2023-12-24T13:31:52Z
1986-01-01,Cameroon,"Inflação (Anual, %)",7.77002498703532,2023-12-24T13:31:52Z
1987-01-01,Cameroon,"Inflação (Anual, %)",13.140499844701,2023-12-24T13:31:52Z
1988-01-01,Cameroon,"Inflação (Anual, %)",1.6823326077121,2023-12-24T13:31:52Z
1989-01-01,Cameroon,"Inflação (Anual, %)",-1.66552589550542,2023-12-24T13:31:52Z
1990-01-01,Cameroon,"Inflação (Anual, %)",1.09938128383606,2023-12-24T13:31:52Z
1991-01-01,Cameroon,"Inflação (Anual, %)",0.0600513305003455,2023-12-24T13:31:52Z
1992-01-01,Cameroon,"Inflação (Anual, %)",-0.0160550458717418,2023-12-24T13:31:52Z
1993-01-01,Cameroon,"Inflação (Anual, %)",-3.20655456915868,2023-12-24T13:31:52Z
1994-01-01,Cameroon,"Inflação (Anual, %)",35.0944618459464,2023-12-24T13:31:52Z
1995-01-01,Cameroon,"Inflação (Anual, %)",9.06969071921509,2023-12-24T13:31:52Z
1996-01-01,Cameroon,"Inflação (Anual, %)",3.92406372749798,2023-12-24T13:31:52Z
1997-01-01,Cameroon,"Inflação (Anual, %)",4.78623881860376,2023-12-24T13:31:52Z
1998-01-01,Cameroon,"Inflação (Anual, %)",3.17075185386907,2023-12-24T13:31:52Z
1999-01-01,Cameroon,"Inflação (Anual, %)",1.87174500672008,2023-12-24T13:31:52Z
2000-01-01,Cameroon,"Inflação (Anual, %)",1.22719012976132,2023-12-24T13:31:52Z
2001-01-01,Cameroon,"Inflação (Anual, %)",4.41977245881146,2023-12-24T13:31:52Z
2002-01-01,Cameroon,"Inflação (Anual, %)",2.83442260128067,2023-12-24T13:31:52Z
2003-01-01,Cameroon,"Inflação (Anual, %)",0.623163557374316,2023-12-24T13:31:52Z
2004-01-01,Cameroon,"Inflação (Anual, %)",0.233647380067584,2023-12-24T13:31:52Z
2005-01-01,Cameroon,"Inflação (Anual, %)",2.01353950175987,2023-12-24T13:31:52Z
2006-01-01,Cameroon,"Inflação (Anual, %)",5.11757816019469,2023-12-24T13:31:52Z
2007-01-01,Cameroon,"Inflação (Anual, %)",0.921402245650107,2023-12-24T13:31:52Z
2008-01-01,Cameroon,"Inflação (Anual, %)",5.33780627627498,2023-12-24T13:31:52Z
2009-01-01,Cameroon,"Inflação (Anual, %)",3.04361847939998,2023-12-24T13:31:52Z
2010-01-01,Cameroon,"Inflação (Anual, %)",1.27538046242339,2023-12-24T13:31:52Z
2011-01-01,Cameroon,"Inflação (Anual, %)",2.9396994630511,2023-12-24T13:31:52Z
2012-01-01,Cameroon,"Inflação (Anual, %)",2.73529677529558,2023-12-24T13:31:52Z
2013-01-01,Cameroon,"Inflação (Anual, %)",2.0503471800175,2023-12-24T13:31:52Z
2014-01-01,Cameroon,"Inflação (Anual, %)",1.85489850366758,2023-12-24T13:31:52Z
2015-01-01,Cameroon,"Inflação (Anual, %)",2.67623531419899,2023-12-24T13:31:52Z
2016-01-01,Cameroon,"Inflação (Anual, %)",0.874190383289119,2023-12-24T13:31:52Z
2017-01-01,Cameroon,"Inflação (Anual, %)",0.640409149881771,2023-12-24T13:31:52Z
2018-01-01,Cameroon,"Inflação (Anual, %)",1.06885811312928,2023-12-24T13:31:52Z
2019-01-01,Cameroon,"Inflação (Anual, %)",2.45280214062731,2023-12-24T13:31:52Z
2020-01-01,Cameroon,"Inflação (Anual, %)",2.43760882182235,2023-12-24T13:31:52Z
2021-01-01,Cameroon,"Inflação (Anual, %)",2.2718576250357,2023-12-24T13:31:52Z
